zeile,label,total_netto_ag,row_count
28,"28 - Ausgaben für eigenes Personal (z. B. Gehälter, Löhne und Versicherungsbeiträge)",925.84,3
46,46 - Miete/Pacht für Geschäftsräume und betrieblich genutzte Grundstücke,300.00,4
49,"49 - Aufwendungen für Telekommunikation (z. B. Telefon, Internet)",1451.60,26
50,50 - Übernachtungs- und Reisenebenkosten bei Geschäftsreisen des Steuerpflichtigen,480.01,3
51,51 - Fortbildungskosten (ohne Reisekosten),772.66,4
52,"52 - Kosten für Rechts- und Steuerberatung, Buchführung,",519.15,7
55,"55 - Beiträge, Gebühren, Abgaben und Versicherungen (ohne solche für Gebäude und Kraftfahrzeuge)",7654.80,18
56,"56 - Laufende EDV-Kosten (z. B. Beratung, Wartung, Reparatur)",2305.79,70
57,"57 - Arbeitsmittel (z. B. Bürobedarf, Porto, Fachliteratur)",391.27,28
60,"60 - Werbekosten (z. B. Inserate, Werbespots, Plakate)",321.00,17
66,66 - Übrige unbeschränkt abziehbare Betriebsausgaben,292.57,27
67,67 - Geschenke ,93.46,1
68,68 - Bewirtungsaufwendungen,326.55,10
81,81 - Leasingkosten ,1887.34,11
82,"82 - Steuern, Versicherungen und Maut",1845.30,7
83,"83 - Sonstige tatsächliche Fahrtkosten ohne AfA und Zinsen (z. B. Reparaturen, Wartungen, Treibstoff, Kosten für Flugstrecken, Kosten für öffentliche Verkehrsmittel)",2865.11,94
